p_mean,p_std,p_min,p_max,p_drop_pct,p_slope,p_rolling_std_5,p_jitter,q_mean,q_std,q_surge_pct,q_slope,pq_corr,t_mean,t_max,zero_count,sensor_id,pipe_diameter_mm,pipe_age_years,pipe_material,hour_of_day,leak
38.31,2.4336,31.78,40.22,20.64,-0.5633,3.0236,2.1154,29.68,0.6534,1.05,0.0665,0.1339,31.5,32.1,0,sensor_018,150,25,PVC,18,1
36.62,4.0722,30.02,42.99,30.17,-1.3916,2.6258,1.3641,30.91,0.8868,-4.97,-0.1714,0.5508,51.7,52.1,0,sensor_001,150,13,PVC,19,1
16.29,2.4168,12.71,20.55,31.2,-0.8063,0.8649,0.9669,16.67,1.5165,-24.87,-0.5229,0.9622,51.3,51.8,0,sensor_020,200,23,HDPE,1,0
18.06,1.3835,15.98,21.11,14.3,-0.3331,0.5593,1.5576,13.3,0.514,-6.72,-0.1461,0.7027,50.9,51.3,0,sensor_018,150,18,PVC,1,0
34.98,1.4912,32.62,37.79,-13.74,0.4511,1.4343,1.2317,17.03,0.7474,5.63,0.1297,0.5281,40.6,40.9,0,sensor_004,100,3,Cast Iron,20,0
21.21,1.139,19.78,23.36,9.42,-0.0962,0.8606,1.8481,29.84,0.8316,-7.51,-0.0822,0.2272,27.9,28.8,0,sensor_003,300,28,HDPE,2,0
19.1,2.6102,15.15,22.55,32.81,-0.8903,1.3927,0.8814,59.43,7.2267,59.63,0.8197,-0.2436,42.0,42.2,0,sensor_007,400,26,Steel,2,1
35.54,2.4826,31.47,39.97,-24.92,0.8262,1.6101,1.1866,24.29,1.1382,14.93,0.3282,0.9149,40.2,40.8,0,sensor_010,150,3,PVC,11,0
40.25,2.0629,34.96,42.44,-0.26,-0.0426,2.4869,2.9823,73.85,2.5111,-0.62,0.141,-0.8206,38.7,39.2,0,sensor_015,400,14,Steel,14,0
34.08,1.562,30.73,36.54,0.17,0.3327,0.9698,1.8444,24.24,0.9219,-0.99,0.0741,0.2873,25.6,25.8,0,sensor_004,150,7,PVC,21,0
55.38,9.9003,40.64,72.49,-78.36,3.4308,5.2656,1.448,90.24,12.3205,59.59,4.2519,0.9819,50.7,51.2,0,sensor_017,400,16,Steel,14,0
44.2,2.0002,40.27,47.04,10.47,-0.5675,1.577,1.67,70.2,2.7971,8.38,0.5322,-0.1492,49.6,50.2,0,sensor_007,300,22,HDPE,20,1
24.5,1.6732,21.59,26.78,7.62,-0.0622,2.1215,2.3286,36.7,2.3211,8.48,0.3541,-0.5712,30.5,31.5,0,sensor_005,300,1,HDPE,0,0
21.95,4.2144,15.18,29.34,48.27,-1.4462,2.3545,0.8491,12.41,1.7247,-36.23,-0.5721,0.9564,41.6,41.9,0,sensor_005,100,16,Cast Iron,10,0
40.44,1.3329,37.6,41.96,4.41,-0.3734,1.061,1.2643,38.38,0.7927,0.35,0.1924,-0.7157,44.5,44.8,0,sensor_017,200,15,HDPE,17,1
46.82,2.7209,41.06,50.84,-23.81,0.8192,1.3208,1.4528,57.93,2.1764,12.06,0.6434,0.8367,47.6,48.3,0,sensor_019,250,10,PVC,8,0
21.38,1.6658,18.97,23.53,19.36,-0.5614,0.9879,0.6746,35.1,2.5917,17.25,0.6571,-0.7551,32.2,32.6,0,sensor_017,300,18,HDPE,4,1
29.51,2.8281,24.88,34.77,-39.71,0.9527,1.7957,1.1706,49.82,3.6648,23.25,1.2546,0.9524,31.2,32.0,0,sensor_015,400,20,Steel,4,0
35.24,1.7373,32.72,37.71,11.74,-0.5298,1.4321,1.3296,33.63,0.8589,5.07,0.2528,-0.9361,49.6,50.2,0,sensor_017,200,3,HDPE,7,0
32.89,6.1818,22.51,41.24,45.42,-2.1053,4.0125,1.8138,64.53,7.3127,-31.78,-2.4435,0.9592,33.7,34.4,0,sensor_002,400,6,Steel,7,0
34.99,3.8139,29.96,41.42,-38.24,1.3052,2.6029,0.661,59.36,4.9773,25.22,1.6786,0.9287,48.6,49.0,0,sensor_014,400,1,Steel,5,0
47.88,1.2774,44.87,49.29,-3.35,0.0337,1.5478,2.0781,68.59,2.3144,-1.12,-0.0515,0.4243,38.2,38.7,0,sensor_018,300,21,HDPE,18,0
64.15,6.3279,55.45,74.69,-28.74,2.0527,4.0354,4.2736,106.1,7.1442,21.9,2.3325,0.908,53.6,53.8,0,sensor_004,400,10,Steel,19,0
36.26,2.3836,32.8,41.65,21.24,-0.7559,1.2269,1.1458,41.76,1.4369,4.88,0.189,-0.5125,43.6,44.0,0,sensor_015,200,29,HDPE,8,1
36.27,3.676,28.15,40.02,29.66,-1.1754,2.9906,1.649,51.39,3.2327,-12.86,-0.9526,0.7501,53.0,53.5,0,sensor_004,300,1,HDPE,15,0
21.48,2.2336,18.68,26.78,18.03,-0.2668,2.8978,3.3975,28.07,1.1177,5.84,0.2915,-0.362,32.0,32.6,0,sensor_007,250,8,PVC,4,1
24.61,1.8075,21.98,27.38,-19.4,0.5966,0.8475,0.8468,29.58,1.3939,14.02,0.4566,0.874,54.3,54.9,0,sensor_019,250,24,PVC,1,0
23.89,1.4449,21.67,25.96,16.52,-0.3719,0.8988,1.6421,33.48,1.0037,9.77,0.1254,-0.2416,39.9,40.4,0,sensor_011,250,6,PVC,5,1
26.82,4.0144,20.43,33.34,38.71,-1.39,2.0334,0.7352,20.3,2.2903,-33.46,-0.7703,0.9745,25.3,25.8,0,sensor_018,150,4,PVC,15,0
47.07,4.6157,41.88,56.97,24.09,-1.3475,1.4977,2.9431,87.36,2.627,0.3,-0.0634,-0.1272,38.3,38.8,0,sensor_012,400,15,Steel,17,1
26.27,1.6441,23.16,28.86,-8.03,0.3651,0.7777,2.1556,37.51,1.3903,9.71,0.3605,0.4445,48.7,49.4,0,sensor_014,300,17,HDPE,0,0
20.12,2.1034,16.02,23.07,30.57,-0.5964,2.1605,1.6837,14.75,0.9487,-15.84,-0.3142,0.7378,27.2,27.7,0,sensor_008,150,4,PVC,5,0
53.77,3.2773,49.55,59.19,-15.79,1.0683,2.1873,1.273,93.35,3.7486,5.4,1.0193,0.7437,34.8,35.1,0,sensor_015,400,23,Steel,20,0
20.78,9.1661,8.74,33.22,73.7,-3.1467,3.7084,1.7794,34.42,6.1372,37.22,0.8491,-0.3515,34.2,34.7,0,sensor_014,150,28,PVC,15,1
33.25,1.9137,29.57,36.19,18.31,-0.5844,1.8678,1.0262,55.83,2.9475,15.35,0.8084,-0.681,47.6,48.2,0,sensor_006,300,27,HDPE,12,1
27.1,1.5837,24.2,29.28,-21.01,0.5253,0.9963,0.8874,18.72,0.8096,15.38,0.2421,0.9398,47.7,48.2,0,sensor_019,150,9,PVC,23,0
58.65,4.7079,50.38,66.7,-32.38,1.5999,2.7456,1.5161,79.35,6.0601,29.94,2.0809,0.9688,30.1,30.6,0,sensor_015,300,5,HDPE,19,0
21.56,0.7937,20.4,22.77,10.4,-0.2064,0.5515,0.9463,28.36,0.7671,4.6,0.1546,-0.1901,25.3,25.8,0,sensor_010,250,4,PVC,4,1
39.68,5.6724,29.85,47.06,-57.68,1.8683,2.5141,2.9756,62.64,7.6407,43.07,2.6042,0.9361,36.5,36.9,0,sensor_007,400,21,Steel,5,0
36.69,2.4527,34.25,43.21,12.1,-0.5675,0.6928,2.9183,52.63,1.4444,2.11,0.3432,-0.7055,54.5,54.9,0,sensor_016,300,9,HDPE,13,1
13.77,1.9718,9.11,16.04,26.8,-0.6018,1.7646,1.6529,8.41,0.2534,8.57,0.0549,-0.185,45.7,46.1,0,sensor_008,100,11,Cast Iron,1,1
20.2,1.5138,18.89,24.25,-3.23,0.2487,1.759,2.1159,17.92,0.6051,11.06,0.1291,-0.1952,25.2,25.6,0,sensor_006,200,24,HDPE,3,0
34.06,1.8015,29.73,36.43,0.71,-0.1582,1.8972,2.2322,25.33,1.0531,4.51,0.0319,-0.4879,54.6,55.3,0,sensor_007,150,24,PVC,16,0
40.55,1.3764,38.01,42.47,6.2,-0.3656,0.8617,1.219,74.57,1.93,-4.62,-0.4425,0.7476,50.8,51.5,0,sensor_008,400,7,Steel,10,0
23.12,0.6999,21.55,23.98,1.86,0.0732,0.4791,0.9558,20.48,0.7354,2.48,0.0123,0.1413,47.2,47.6,0,sensor_004,200,25,HDPE,0,0
46.84,4.3844,36.16,52.5,-45.16,1.3433,2.4131,2.7027,41.3,2.197,9.54,0.6232,0.6923,34.4,34.9,0,sensor_009,200,28,HDPE,8,0
34.01,0.9262,32.47,35.57,-0.25,0.0417,0.921,1.4694,17.17,0.541,8.85,0.007,-0.0371,45.9,46.3,0,sensor_018,100,26,Cast Iron,18,0
42.81,4.5823,34.77,51.18,26.82,-1.4756,2.225,3.0174,108.39,8.074,30.66,1.6977,-0.36,51.4,51.8,0,sensor_019,400,5,Steel,17,1
18.09,2.8992,12.76,24.44,21.58,-0.1413,3.9692,4.5561,16.48,0.6415,-6.89,-0.1862,0.2553,52.6,53.1,0,sensor_007,200,20,HDPE,3,0
19.1,0.6618,18.02,20.15,8.61,-0.1648,0.3282,0.7457,33.88,0.856,-6.94,-0.2029,0.5554,35.3,35.8,0,sensor_015,300,6,HDPE,1,1
22.44,1.7677,17.38,23.98,25.46,-0.4297,2.0381,1.6532,47.65,5.9705,55.39,0.5122,-0.2464,41.5,41.9,0,sensor_005,300,27,HDPE,1,1
26.99,2.0593,23.6,30.65,21.01,-0.6566,1.2987,1.3709,13.86,1.029,-18.84,-0.2842,0.5712,46.6,47.1,0,sensor_001,100,1,Cast Iron,16,0
20.35,0.7336,19.07,21.71,2.48,-0.0854,0.9192,1.3356,30.09,1.033,-1.56,0.0303,0.2232,26.4,26.8,0,sensor_007,300,10,HDPE,3,1
33.4,4.1799,27.48,39.65,28.71,-1.3998,1.8374,1.7928,32.71,2.2266,-15.94,-0.7289,0.8975,26.1,26.7,0,sensor_011,200,21,HDPE,9,0
37.4,2.0889,33.4,40.08,3.0,-0.2472,2.2904,3.8514,48.0,1.0281,3.02,-0.038,0.5995,47.7,48.4,0,sensor_020,250,8,PVC,10,0
14.05,2.3841,11.07,19.08,34.13,-0.7537,0.8617,1.6489,10.74,1.1149,-26.95,-0.3594,0.9759,36.9,37.5,0,sensor_002,150,11,PVC,2,0
37.89,3.2704,32.21,43.03,25.14,-1.0008,2.5004,2.9853,68.67,3.258,-15.23,-0.9693,0.7327,38.1,38.6,0,sensor_007,400,4,Steel,15,0
32.54,3.6802,26.44,39.67,24.85,-1.1926,1.703,1.9491,31.42,2.2005,-13.08,-0.6569,0.8616,50.4,50.7,0,sensor_004,200,4,HDPE,16,0
38.62,5.1169,29.56,44.55,20.75,-1.5914,3.1231,3.2105,58.46,5.9608,-31.36,-1.7927,0.7305,49.8,50.3,0,sensor_013,300,3,HDPE,20,0
36.79,4.1595,30.98,43.22,28.31,-1.3605,2.917,2.3632,35.04,1.6723,-14.33,-0.5521,0.9478,39.9,40.5,0,sensor_019,200,1,HDPE,20,0
15.33,2.0954,9.71,17.27,17.5,-0.4212,2.2656,2.8657,8.3,0.3374,3.35,0.0163,0.1555,48.2,48.5,0,sensor_004,100,10,Cast Iron,1,1
42.68,1.5665,40.27,45.99,-8.7,-0.0103,1.4112,2.5022,55.65,1.4107,5.26,0.262,0.3926,39.9,40.5,0,sensor_020,250,6,PVC,20,1
25.35,1.252,23.16,27.69,5.67,-0.2846,0.8111,1.3672,32.44,0.9749,7.02,0.2308,-0.1747,42.0,42.6,0,sensor_017,250,10,PVC,5,1
20.96,6.2235,11.71,28.52,58.93,-2.1234,3.4466,1.1649,29.32,5.0297,39.66,0.6985,-0.2508,51.8,52.1,0,sensor_005,150,28,PVC,22,1
41.65,4.8039,33.71,46.84,26.79,-1.578,3.3338,1.5273,68.0,4.3811,8.44,1.0543,-0.7186,33.8,34.3,0,sensor_013,300,9,HDPE,17,1
23.84,3.0488,19.25,29.01,30.17,-0.9224,2.4902,2.5501,42.66,2.8535,-18.15,-0.8822,0.6817,40.3,40.7,0,sensor_010,400,8,Steel,0,0
25.41,2.6461,21.01,32.04,25.36,-0.6985,1.5551,2.6226,12.63,0.3733,-2.96,-0.0935,0.2303,28.1,28.5,0,sensor_020,100,16,Cast Iron,14,0
38.39,2.4505,32.43,41.71,-14.07,0.5706,1.2998,3.2279,27.07,0.747,9.12,0.1971,0.5484,39.8,40.2,0,sensor_019,150,12,PVC,9,0
31.93,3.7795,24.91,36.44,30.26,-1.2647,2.3372,1.286,89.47,14.1661,42.58,2.8854,-0.4146,43.6,43.8,0,sensor_010,400,11,Steel,6,1
33.78,2.7671,27.92,37.99,22.12,-0.8364,1.9329,1.7761,50.11,3.2694,14.28,0.6102,-0.2001,53.4,53.8,0,sensor_015,250,14,PVC,11,1
37.89,2.5739,33.14,41.62,4.98,-0.5969,1.874,2.9944,65.74,2.3575,-4.53,-0.5527,0.6772,46.6,47.6,0,sensor_011,300,14,HDPE,21,1
28.82,6.9215,17.99,36.38,50.54,-2.2783,4.3003,2.2059,79.11,19.0603,59.84,4.6068,-0.4899,42.1,42.6,0,sensor_010,300,2,HDPE,12,1
16.95,1.8232,14.58,21.61,-48.21,0.5472,1.8437,1.2412,7.95,0.4791,22.15,0.1296,0.7052,31.2,31.5,0,sensor_007,100,7,Cast Iron,2,0
52.16,2.9492,48.39,59.68,3.7,-0.1798,1.5268,4.8089,85.86,2.5798,0.23,-0.0713,-0.3843,26.2,27.1,0,sensor_004,400,11,Steel,8,0
35.55,2.0052,32.07,39.96,0.35,-0.0184,2.7084,3.3347,33.23,0.9182,-1.54,-0.1785,-0.2961,49.5,50.3,0,sensor_007,200,11,HDPE,21,0
23.34,6.5774,13.68,32.25,57.58,-2.2628,2.7597,1.5742,18.61,0.9768,3.51,-0.0972,0.3318,44.4,45.1,0,sensor_014,100,8,Cast Iron,20,1
35.55,2.3988,30.31,38.23,17.34,-0.724,1.9334,1.2228,68.45,1.9218,-3.86,0.063,-0.0095,31.1,31.6,0,sensor_012,400,6,Steel,12,1
46.74,3.068,41.78,52.8,-26.39,0.9204,2.6716,2.3288,80.21,5.17,20.53,1.4191,0.703,49.7,50.1,0,sensor_004,400,12,Steel,15,0
34.84,5.006,27.26,43.58,37.46,-1.6749,2.6712,2.3718,65.0,6.2209,-26.47,-2.1339,0.9372,34.6,35.2,0,sensor_019,400,6,Steel,10,0
30.01,6.9667,19.86,42.36,40.46,-2.0169,3.9517,4.2722,61.97,7.0487,17.26,0.6704,0.2417,33.8,34.4,0,sensor_014,300,25,HDPE,12,1
41.87,1.3423,39.39,43.8,1.07,-0.1279,1.3757,1.9503,79.19,1.7583,3.0,-0.0328,-0.2033,32.1,32.7,0,sensor_001,400,23,Steel,15,1
26.44,0.9229,24.86,27.97,-12.52,0.2968,0.6141,0.5556,24.44,1.0313,14.15,0.289,0.7624,34.6,35.1,0,sensor_011,200,3,HDPE,5,0
29.13,0.9417,27.57,30.4,3.22,0.1098,1.0239,1.2159,14.06,0.3668,-4.55,-0.0583,-0.308,52.9,53.6,0,sensor_018,100,28,Cast Iron,21,0
36.58,3.8664,31.33,43.63,27.26,-1.3195,1.881,1.3137,88.1,1.9324,-0.03,-0.2552,0.5006,40.6,41.2,0,sensor_018,400,10,Steel,7,1
42.67,2.7659,39.15,48.17,15.87,-0.8464,1.5128,2.2054,61.54,3.753,-15.94,-1.0621,0.8417,49.1,49.6,0,sensor_015,300,6,HDPE,20,0
40.95,5.5455,34.35,49.04,28.86,-1.8597,2.4247,2.2247,76.17,7.637,-27.03,-2.5763,0.9279,53.8,54.4,0,sensor_009,400,3,Steel,20,0
38.61,2.5424,35.45,44.58,18.51,-0.5863,1.5187,2.8096,63.15,2.7523,-14.69,-0.3135,0.4208,51.9,52.3,0,sensor_001,250,28,PVC,20,1
29.77,8.1884,16.78,44.05,61.9,-2.7174,3.9904,4.6372,31.76,5.7549,-37.18,-1.9356,0.9046,41.2,41.4,0,sensor_007,200,16,HDPE,18,0
40.74,2.827,32.66,43.73,-3.68,-0.2623,3.755,4.0225,60.25,2.2712,2.33,0.0786,0.2323,38.9,39.2,0,sensor_014,300,13,HDPE,16,1
36.6,6.6788,25.66,46.72,45.07,-2.2732,3.1147,2.5135,66.11,8.8965,-34.57,-3.0442,0.945,46.6,47.3,0,sensor_012,400,16,Steel,16,0
22.59,1.7572,20.24,24.9,0.63,0.3337,0.7973,1.7763,19.76,1.3063,21.52,0.4256,0.5638,45.8,46.1,0,sensor_013,200,5,HDPE,3,0
35.54,7.7299,23.79,47.45,49.87,-2.5725,3.7192,3.9458,48.53,7.1951,-37.29,-2.4464,0.9353,37.0,37.5,0,sensor_006,250,2,PVC,19,0
21.8,1.1334,20.37,23.67,1.65,-0.1788,0.9494,1.084,37.36,2.5092,8.76,0.5279,-0.0599,25.2,25.6,0,sensor_011,300,24,HDPE,4,1
46.1,2.2213,43.49,49.9,-10.11,0.6475,1.4742,1.4849,57.57,2.2664,9.33,0.6414,0.812,40.8,41.3,0,sensor_001,250,17,PVC,8,0
22.17,2.8404,17.89,25.44,28.73,-0.9187,1.3129,1.7435,31.81,2.1515,6.6,0.1136,-0.2173,48.1,48.5,0,sensor_013,250,19,PVC,0,1
35.46,3.4981,27.67,41.18,-16.75,-0.2712,4.4237,4.0536,48.85,1.7745,7.98,0.5053,-0.3963,52.2,52.9,0,sensor_004,250,16,PVC,7,0
25.74,2.6679,21.69,30.71,-8.97,-0.3095,3.2368,3.1419,13.27,0.753,-8.31,-0.2276,0.6616,36.1,36.4,0,sensor_008,100,1,Cast Iron,15,0
34.5,2.4205,29.29,37.58,-12.47,0.6347,1.2279,2.7371,24.62,0.5068,5.76,0.0831,0.2243,51.2,51.7,0,sensor_002,150,29,PVC,21,0
44.45,1.4805,42.38,47.11,-7.41,0.4587,1.1151,1.0963,77.79,1.5423,4.59,0.4599,0.6784,38.4,38.6,0,sensor_008,400,26,Steel,7,0
35.06,1.7344,32.57,38.31,-7.09,0.3888,1.7989,2.039,24.25,0.8614,7.49,0.1796,0.5008,38.8,39.4,0,sensor_013,150,16,PVC,7,0
21.43,1.3525,18.91,23.32,15.33,-0.422,1.0853,0.8817,34.06,2.2164,16.44,0.4861,-0.4647,46.4,47.0,0,sensor_003,200,27,HDPE,0,1
41.16,6.0019,31.57,49.6,36.36,-2.0371,3.569,2.4792,78.69,7.5481,-21.65,-2.321,0.8528,52.4,52.7,0,sensor_020,400,2,Steel,18,0
34.29,1.5814,31.61,36.99,10.29,-0.4454,1.2635,1.2967,35.57,0.9322,4.82,0.1035,-0.3496,25.6,26.4,0,sensor_015,200,19,HDPE,10,1
33.36,2.0996,30.93,36.32,-17.45,0.6348,1.7713,1.4488,16.56,0.5897,12.27,0.173,0.5609,42.2,42.7,0,sensor_008,100,18,Cast Iron,9,0
51.51,5.6348,43.05,62.08,-44.19,1.9247,3.265,1.6305,44.86,4.2433,30.09,1.4292,0.9426,26.7,27.2,0,sensor_010,200,12,HDPE,8,0
21.63,1.4357,19.59,24.32,8.86,-0.0821,0.7565,1.6083,39.76,0.8028,2.2,-0.0008,-0.7359,27.5,28.0,0,sensor_008,400,14,Steel,2,0
20.78,1.1535,18.26,22.28,18.04,-0.3292,1.0773,1.1439,31.12,1.4604,14.98,0.0808,-0.4821,41.0,41.2,0,sensor_013,300,11,HDPE,2,1
35.48,4.9044,26.26,42.29,30.34,-1.4932,3.907,3.3241,30.37,1.0787,-0.82,-0.0865,0.5018,48.3,48.6,0,sensor_005,150,28,PVC,19,1
27.38,0.9,26.29,29.01,-1.33,0.2187,0.6985,0.9296,25.54,0.5252,2.0,0.0789,0.4368,33.9,34.5,0,sensor_011,200,22,HDPE,23,0
33.09,2.0098,28.95,36.25,15.16,-0.2585,1.5567,2.9333,27.73,1.0034,4.44,-0.0189,-0.6,42.0,42.6,0,sensor_007,150,18,PVC,9,1
28.83,4.7339,22.2,35.72,37.87,-1.5754,2.3065,2.375,28.75,3.2382,-32.33,-1.1005,0.9425,32.1,32.4,0,sensor_019,200,5,HDPE,15,0
22.04,1.1173,20.54,23.39,12.18,-0.3227,0.3187,0.8308,30.96,0.9063,3.29,0.1841,-0.4604,54.0,54.7,0,sensor_002,250,25,PVC,0,1
31.45,4.1333,25.29,39.03,-45.05,1.3682,2.6022,1.8877,41.66,3.7709,36.47,1.2519,0.9392,32.4,32.8,0,sensor_004,300,21,HDPE,0,0
27.65,1.1908,25.71,29.46,11.12,-0.2915,1.117,1.3621,35.24,0.7283,-7.36,-0.1833,0.441,53.2,53.7,0,sensor_009,250,7,PVC,23,1
31.89,1.3039,29.82,33.59,9.86,-0.1552,1.0985,2.0808,23.81,0.6701,5.6,0.1707,0.0574,48.2,48.8,0,sensor_008,150,25,PVC,15,1
19.13,1.0214,17.21,21.11,5.83,-0.265,0.6822,1.1231,18.32,0.9315,-5.35,-0.2074,0.4077,41.0,41.7,0,sensor_018,200,9,HDPE,1,0
29.46,0.9514,27.78,30.86,4.66,-0.2404,0.8596,0.8829,28.61,0.5488,2.91,0.0937,-0.2342,25.8,26.5,0,sensor_001,200,24,HDPE,6,1
21.34,1.8679,18.14,23.93,22.59,-0.6144,1.2434,0.8473,36.95,3.1874,15.55,0.7892,-0.6562,31.1,31.6,0,sensor_008,300,9,HDPE,1,1
19.84,2.067,17.3,25.01,0.41,-0.2838,1.2926,3.1199,9.62,0.5751,-4.49,-0.0916,0.089,48.3,48.6,0,sensor_002,100,13,Cast Iron,5,0
13.9,3.7539,8.5,19.64,55.22,-1.2886,1.4013,1.001,14.77,2.4446,-37.75,-0.796,0.94,51.8,52.3,0,sensor_002,200,18,HDPE,2,0
50.01,4.7,38.66,56.03,-19.52,1.3449,1.9387,4.5229,71.41,4.4768,22.66,1.1784,0.6437,51.2,51.7,0,sensor_007,300,13,HDPE,8,0
35.99,2.7747,33.15,42.59,-28.33,0.7961,2.9158,1.8316,25.2,1.0117,10.34,0.2793,0.8592,43.3,43.8,0,sensor_007,150,8,PVC,21,0
26.68,3.8904,19.33,34.85,20.65,-0.9818,2.577,4.3901,14.57,0.4709,5.55,0.1185,-0.5584,42.0,42.4,0,sensor_008,100,4,Cast Iron,7,1
22.6,1.7314,21.25,27.41,20.64,-0.4435,0.2641,1.4986,33.34,1.0096,7.03,0.0448,-0.6455,49.2,49.5,0,sensor_010,300,16,HDPE,1,1
24.16,2.1339,20.52,26.9,-29.66,0.7097,0.7881,0.9993,33.18,1.9601,21.17,0.6683,0.9702,35.4,35.8,0,sensor_016,300,12,HDPE,3,0
30.81,11.1282,16.45,47.34,65.12,-3.8054,3.6901,2.6743,83.83,6.6476,27.23,0.7322,-0.2831,28.1,28.7,0,sensor_003,300,22,HDPE,8,1
